   plotID  year      PRCP      Tavg   max_LAI        ET     Trans    Evapor   CanopyW        OF       NPP       NBP       NEP       NEE       GPP        MR        GR        HR     root_MR     leaf_MR      bgc土壤水          bgc雪
       123  2002     984.2       7.8       3.8     211.6      44.9     166.7     138.5     652.3     505.3     215.5     215.5     215.5     757.4     100.5     151.6     289.8      48.0      52.4     167.2       0.5
       123  2003     763.0       7.2       5.4     228.7      62.6     166.1     186.6     522.8     521.9     197.2     197.2     197.2     852.8     174.3     156.6     324.7      82.0      92.3     186.7       2.1
       123  2004     785.8       6.4       5.0     216.9      46.2     170.7     162.0     570.1     441.7      61.9      61.9      61.9     717.7     143.5     132.5     379.7      69.1      74.4     187.3       4.8
       123  2005     744.6       5.6       4.5     200.7      47.6     153.0     173.5     468.8     441.1      32.2      32.2      32.2     704.3     130.8     132.3     408.9      63.0      67.7     186.7      10.3
       123  2006     581.5       6.8       4.7     205.8      56.1     149.7     122.5     464.5     467.9      38.3      38.3      38.3     753.9     145.6     140.4     429.6      68.7      77.0     186.6      23.7
       123  2007     617.7       7.3       5.0     178.6      58.6     120.0     177.3     438.6     512.3     122.4     122.4     122.4     823.4     157.4     153.7     389.9      75.5      81.9     186.3       0.6
       123  2008     647.9       7.1       4.8     153.9      50.2     103.7     147.6     485.9     419.6     -12.2     -12.2     -12.2     677.5     131.9     125.9     431.8      63.0      69.0     186.2       0.6
       123  2009     641.9       6.8       4.6     193.6      50.3     143.3     143.7     456.4     489.2      70.6      70.6      70.6     774.5     138.5     146.8     418.7      66.4      72.1     186.5       1.0
       123  2010     527.4       6.1       4.8     160.3      46.3     114.0     143.8     368.0     436.5      33.1      33.1      33.1     697.5     130.1     130.9     403.4      62.6      67.5     185.9       0.2
       123  2011     561.3       7.1       4.3     148.7      49.7      99.0     103.5     391.1     422.7     -31.2     -31.2     -31.2     665.1     115.6     126.8     453.8      54.8      60.8     186.0       0.5
       123  2012     498.6       6.7       4.8     165.1      56.2     109.0      97.9     353.5     519.0     108.8     108.8     108.8     822.2     147.5     155.7     410.3      70.5      77.0     183.0       3.9
    plotID  year      PRCP      Tavg   max_LAI        ET     Trans    Evapor   CanopyW        OF       NPP       NBP       NEP       NEE       GPP        MR        GR        HR     root_MR     leaf_MR      bgc土壤水          bgc雪
       123  2002     984.2       7.8       3.8     208.5      43.5     165.0     130.4     655.4     499.4     208.7     208.7     208.7     749.6     100.3     149.8     290.7      48.0      52.4     167.2       0.5
       123  2003     763.0       7.2       5.3     228.3      62.5     165.9     185.2     523.1     522.3     199.2     199.2     199.2     852.0     173.0     156.7     323.1      81.4      91.7     186.7       2.1
       123  2004     785.8       6.4       5.0     217.0      46.2     170.7     162.1     570.1     441.8      63.5      63.5      63.5     717.9     143.6     132.5     378.3      69.1      74.5     187.3       4.8
       123  2005     744.6       5.6       4.5     200.7      47.6     153.1     173.5     468.7     441.1      32.8      32.8      32.8     704.3     130.8     132.3     408.4      63.1      67.7     186.7      10.3
       123  2006     581.5       6.8       4.7     205.8      56.1     149.7     122.5     464.5     467.8      38.6      38.6      38.6     753.7     145.6     140.3     429.1      68.7      77.0     186.6      23.7
       123  2007     617.7       7.3       5.0     178.5      58.6     120.0     177.3     438.6     512.1     122.5     122.5     122.5     823.1     157.4     153.6     389.6      75.5      81.9     186.3       0.6
       123  2008     647.9       7.1       4.8     153.9      50.2     103.6     147.5     485.9     419.5     -12.1     -12.1     -12.1     677.2     131.9     125.8     431.6      63.0      68.9     186.2       0.6
       123  2009     641.9       6.8       4.6     193.6      50.3     143.3     143.6     456.5     489.0      70.6      70.6      70.6     774.2     138.5     146.7     418.4      66.4      72.1     186.5       1.0
       123  2010     527.4       6.1       4.8     160.2      46.3     113.9     143.8     368.0     436.3      33.1      33.1      33.1     697.3     130.1     130.9     403.2      62.6      67.5     185.9       0.2
       123  2011     561.3       7.1       4.3     148.7      49.7      99.0     103.5     391.1     422.5     -31.1     -31.1     -31.1     664.8     115.6     126.8     453.6      54.8      60.8     186.0       0.5
       123  2012     498.6       6.7       4.8     165.1      56.2     109.0      97.9     353.5     518.8     108.8     108.8     108.8     821.9     147.4     155.6     410.1      70.5      76.9     183.0       3.9
        plotID  year      PRCP      Tavg   max_LAI        ET     Trans    Evapor   CanopyW        OF       NPP       NBP       NEP       NEE       GPP        MR        GR        HR     root_MR     leaf_MR      bgc土壤水          bgc雪
       123  2002     984.2       7.8       3.8     208.5      43.5     165.0     130.4     655.4     499.4     208.7     208.7     208.7     749.6     100.3     149.8     290.7      48.0      52.4     167.2       0.5
       123  2003     763.0       7.2       5.3     228.3      62.5     165.9     185.2     523.1     522.3     199.2     199.2     199.2     852.0     173.0     156.7     323.1      81.4      91.7     186.7       2.1
       123  2004     785.8       6.4       5.0     217.0      46.2     170.7     162.1     570.1     441.8      63.5      63.5      63.5     717.9     143.6     132.5     378.3      69.1      74.5     187.3       4.8
       123  2005     744.6       5.6       4.5     200.7      47.6     153.1     173.5     468.7     441.1      32.8      32.8      32.8     704.3     130.8     132.3     408.4      63.1      67.7     186.7      10.3
       123  2006     581.5       6.8       4.7     205.8      56.1     149.7     122.5     464.5     467.8      38.6      38.6      38.6     753.7     145.6     140.3     429.1      68.7      77.0     186.6      23.7
       123  2007     617.7       7.3       5.0     178.5      58.6     120.0     177.3     438.6     512.1     122.5     122.5     122.5     823.1     157.4     153.6     389.6      75.5      81.9     186.3       0.6
       123  2008     647.9       7.1       4.8     153.9      50.2     103.6     147.5     485.9     419.5     -12.1     -12.1     -12.1     677.2     131.9     125.8     431.6      63.0      68.9     186.2       0.6
       123  2009     641.9       6.8       4.6     193.6      50.3     143.3     143.6     456.5     489.0      70.6      70.6      70.6     774.2     138.5     146.7     418.4      66.4      72.1     186.5       1.0
       123  2010     527.4       6.1       4.8     160.2      46.3     113.9     143.8     368.0     436.3      33.1      33.1      33.1     697.3     130.1     130.9     403.2      62.6      67.5     185.9       0.2
       123  2011     561.3       7.1       4.3     148.7      49.7      99.0     103.5     391.1     422.5     -31.1     -31.1     -31.1     664.8     115.6     126.8     453.6      54.8      60.8     186.0       0.5
       123  2012     498.6       6.7       4.8     165.1      56.2     109.0      97.9     353.5     518.8     108.8     108.8     108.8     821.9     147.4     155.6     410.1      70.5      76.9     183.0       3.9
    plotID  year      PRCP      Tavg   max_LAI        ET     Trans    Evapor   CanopyW        OF       NPP       NBP       NEP       NEE       GPP        MR        GR        HR     root_MR     leaf_MR      bgc土壤水          bgc雪
       123  2002     984.2       7.8       3.8     208.5      43.5     165.0     130.4     655.4     499.4     208.7     208.7     208.7     749.6     100.3     149.8     290.7      48.0      52.4     167.2       0.5
       123  2003     763.0       7.2       5.3     228.3      62.5     165.9     185.2     523.1     522.3     199.2     199.2     199.2     852.0     173.0     156.7     323.1      81.4      91.7     186.7       2.1
       123  2004     785.8       6.4       5.0     217.0      46.2     170.7     162.1     570.1     441.8      63.5      63.5      63.5     717.9     143.6     132.5     378.3      69.1      74.5     187.3       4.8
       123  2005     744.6       5.6       4.5     200.7      47.6     153.1     173.5     468.7     441.1      32.8      32.8      32.8     704.3     130.8     132.3     408.4      63.1      67.7     186.7      10.3
       123  2006     581.5       6.8       4.7     205.8      56.1     149.7     122.5     464.5     467.8      38.6      38.6      38.6     753.7     145.6     140.3     429.1      68.7      77.0     186.6      23.7
       123  2007     617.7       7.3       5.0     178.5      58.6     120.0     177.3     438.6     512.1     122.5     122.5     122.5     823.1     157.4     153.6     389.6      75.5      81.9     186.3       0.6
       123  2008     647.9       7.1       4.8     153.9      50.2     103.6     147.5     485.9     419.5     -12.1     -12.1     -12.1     677.2     131.9     125.8     431.6      63.0      68.9     186.2       0.6
       123  2009     641.9       6.8       4.6     193.6      50.3     143.3     143.6     456.5     489.0      70.6      70.6      70.6     774.2     138.5     146.7     418.4      66.4      72.1     186.5       1.0
       123  2010     527.4       6.1       4.8     160.2      46.3     113.9     143.8     368.0     436.3      33.1      33.1      33.1     697.3     130.1     130.9     403.2      62.6      67.5     185.9       0.2
       123  2011     561.3       7.1       4.3     148.7      49.7      99.0     103.5     391.1     422.5     -31.1     -31.1     -31.1     664.8     115.6     126.8     453.6      54.8      60.8     186.0       0.5
       123  2012     498.6       6.7       4.8     165.1      56.2     109.0      97.9     353.5     518.8     108.8     108.8     108.8     821.9     147.4     155.6     410.1      70.5      76.9     183.0       3.9
    plotID  year      PRCP      Tavg   max_LAI        ET     Trans    Evapor   CanopyW        OF       NPP       NBP       NEP       NEE       GPP        MR        GR        HR     root_MR     leaf_MR      bgc土壤水          bgc雪
       123  2002     984.2       7.8       3.8     208.5      43.5     165.0     130.4     655.4     499.4     208.7     208.7     208.7     749.6     100.3     149.8     290.7      48.0      52.4     167.2       0.5
       123  2003     763.0       7.2       5.3     228.3      62.5     165.9     185.2     523.1     522.3     199.2     199.2     199.2     852.0     173.0     156.7     323.1      81.4      91.7     186.7       2.1
       123  2004     785.8       6.4       5.0     217.0      46.2     170.7     162.1     570.1     441.8      63.5      63.5      63.5     717.9     143.6     132.5     378.3      69.1      74.5     187.3       4.8
       123  2005     744.6       5.6       4.5     200.7      47.6     153.1     173.5     468.7     441.1      32.8      32.8      32.8     704.3     130.8     132.3     408.4      63.1      67.7     186.7      10.3
       123  2006     581.5       6.8       4.7     205.8      56.1     149.7     122.5     464.5     467.8      38.6      38.6      38.6     753.7     145.6     140.3     429.1      68.7      77.0     186.6      23.7
       123  2007     617.7       7.3       5.0     178.5      58.6     120.0     177.3     438.6     512.1     122.5     122.5     122.5     823.1     157.4     153.6     389.6      75.5      81.9     186.3       0.6
       123  2008     647.9       7.1       4.8     153.9      50.2     103.6     147.5     485.9     419.5     -12.1     -12.1     -12.1     677.2     131.9     125.8     431.6      63.0      68.9     186.2       0.6
       123  2009     641.9       6.8       4.6     193.6      50.3     143.3     143.6     456.5     489.0      70.6      70.6      70.6     774.2     138.5     146.7     418.4      66.4      72.1     186.5       1.0
       123  2010     527.4       6.1       4.8     160.2      46.3     113.9     143.8     368.0     436.3      33.1      33.1      33.1     697.3     130.1     130.9     403.2      62.6      67.5     185.9       0.2
       123  2011     561.3       7.1       4.3     148.7      49.7      99.0     103.5     391.1     422.5     -31.1     -31.1     -31.1     664.8     115.6     126.8     453.6      54.8      60.8     186.0       0.5
       123  2012     498.6       6.7       4.8     165.1      56.2     109.0      97.9     353.5     518.8     108.8     108.8     108.8     821.9     147.4     155.6     410.1      70.5      76.9     183.0       3.9
